"Table 1. Number of Votes Cast, Citizen Voting-Age Population and Voting Rates for Congressional Districts: 2018",,,,,,,,
"[Table with column headings in rows 3 and 4, and row headings in columns A, B, C, and D. Columns E, F, and G are in persons, columns H and I are in percent.]",,,,,,,,
Line #,State abbreviation,State name,Congressional district,"Votes cast for congressional representative for the November 6, 2018 election1",Citizen voting- age population2,,Voting rate3,
,,,,,Estimate,Margin of error (MOE),Estimate,Margin of error (MOE)
92,FL,Florida,4,381249,614794,10052,62.0124789766979,1.01391594367181
93,FL,Florida,5,270326,541992,11225,49.8763819392168,1.03297168088774
94,FL,Florida,6,333649,621566,6917,53.6787726484396,0.597355824496927
95,FL,Florida,7,317398,581583,10621,54.5748414241819,0.996658070759008
96,FL,Florida,8,360527,610604,4145,59.0443233257561,0.400814144986373
97,FL,Florida,9,296737,644898,15477,46.0130129105688,1.10427292504687
98,FL,Florida,10,0,546157,12769,0,0
99,FL,Florida,11,367506,652135,10786,56.3542824721875,0.932072792818994
100,FL,Florida,12,334918,605983,7435,55.268547137461,0.678107550817469
101,FL,Florida,13,316971,584889,8338,54.1933597656991,0.772564082631746
102,FL,Florida,14,0,534225,9792,0,0
103,FL,Florida,15,285532,578715,14070,49.3389665033739,1.19955290376519
104,FL,Florida,16,361946,638769,8875,56.6630503358804,0.787271410683578
105,FL,Florida,17,310520,615104,10351,50.4825200291333,0.849522300003834
106,FL,Florida,18,342359,599873,10324,57.0719135550358,0.982225296924832
107,FL,Florida,19,339607,631233,11072,53.8005775997136,0.943676891391972
108,FL,Florida,20,202824,507613,13423,39.9564234958522,1.05658261822456
109,FL,Florida,21,0,546101,11927,0,0
110,FL,Florida,22,297683,534846,11346,55.657703338905,1.18069930799373
111,FL,Florida,23,276366,510212,9952,54.1668953297845,1.05655872915967
112,FL,Florida,24,0,477697,12311,0,0
113,FL,Florida,25,212845,453055,14226,46.979947247023,1.47517791335743
114,FL,Florida,26,235475,476033,12380,49.4661084420618,1.28644531474231
115,FL,Florida,27,252586,464604,13439,54.3658685676404,1.57257128152259
116,GA,Georgia,1,250683,550713,4548,45.5197171666549,0.375919351230035
117,GA,Georgia,2,229171,498322,5387,45.9885375319573,0.497148935195825
118,GA,Georgia,3,293006,548941,6659,53.3765923842453,0.647491677041229
