"OHIO, INDIANA, MICHIGAN, MISSOURI, PENNSYLVIANIA, WISCONSIN",,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ","Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],[Money amounts are in thousands of dollars],,,
State,"Congressional
district [1]",Size of adjusted gross income by congressional district,Number of returns,Percentage
,,,,
Indiana,3,"$500,000 or more","2,090",0.590846126
,,,,
Indiana,4,,"344,740",100
Indiana,4,Under $1,"3,600",1.044265243
Indiana,4,"$1 under $10,000","50,090",14.52979057
Indiana,4,"$10,000 under $25,000","64,030",18.57341765
Indiana,4,"$25,000 under $50,000","82,400",23.90207113
Indiana,4,"$50,000 under $75,000","50,690",14.70383477
Indiana,4,"$75,000 under $100,000","35,410",10.27150896
Indiana,4,"$100,000 under $200,000","48,130",13.96124616
Indiana,4,"$200,000 under $500,000","9,080",2.633869003
Indiana,4,"$500,000 or more","1,310",0.379996519
,,,,
Indiana,5,,"379,480",100
Indiana,5,Under $1,"4,160",1.096236956
Indiana,5,"$1 under $10,000","50,280",13.24971013
Indiana,5,"$10,000 under $25,000","59,380",15.64772847
Indiana,5,"$25,000 under $50,000","79,060",20.83377253
Indiana,5,"$50,000 under $75,000","50,810",13.38937493
Indiana,5,"$75,000 under $100,000","35,920",9.465584484
Indiana,5,"$100,000 under $200,000","66,540",17.53452092
Indiana,5,"$200,000 under $500,000","26,470",6.975334668
Indiana,5,"$500,000 or more","6,860",1.807736903
,,,,
Indiana,6,,"328,350",100
Indiana,6,Under $1,"3,770",1.148165068
Indiana,6,"$1 under $10,000","50,260",15.30683722
Indiana,6,"$10,000 under $25,000","65,380",19.91167961
Indiana,6,"$25,000 under $50,000","80,780",24.60179686
Indiana,6,"$50,000 under $75,000","48,130",14.65813918
Indiana,6,"$75,000 under $100,000","32,470",9.88883813
Indiana,6,"$100,000 under $200,000","39,200",11.93848028
Indiana,6,"$200,000 under $500,000","7,160",2.18059997
Indiana,6,"$500,000 or more","1,200",0.365463682
,,,,
Indiana,7,,"353,060",100
Indiana,7,Under $1,"2,940",0.832719651
Indiana,7,"$1 under $10,000","50,070",14.18172549
Indiana,7,"$10,000 under $25,000","88,470",25.05806379
Indiana,7,"$25,000 under $50,000","107,650",30.49056818
Indiana,7,"$50,000 under $75,000","47,530",13.46230103
Indiana,7,"$75,000 under $100,000","24,270",6.874185691
Indiana,7,"$100,000 under $200,000","26,380",7.471817821
Indiana,7,"$200,000 under $500,000","4,820",1.365207047
Indiana,7,"$500,000 or more",930,0.263411318
,,,,
Indiana,8,,"327,390",100
Indiana,8,Under $1,"3,530",1.078224747
Indiana,8,"$1 under $10,000","52,060",15.90152418
Indiana,8,"$10,000 under $25,000","65,790",20.09529918
Indiana,8,"$25,000 under $50,000","79,000",24.13024222
Indiana,8,"$50,000 under $75,000","47,240",14.42927395
Indiana,8,"$75,000 under $100,000","32,580",9.951434069
Indiana,8,"$100,000 under $200,000","38,540",11.77189285
Indiana,8,"$200,000 under $500,000","6,980",2.132013806
Indiana,8,"$500,000 or more","1,670",0.510094994
,,,,
Indiana,9,,"349,040",100
Indiana,9,Under $1,"3,670",1.051455421
Indiana,9,"$1 under $10,000","50,040",14.33646573
Indiana,9,"$10,000 under $25,000","66,650",19.09523264
Indiana,9,"$25,000 under $50,000","85,540",24.5072198
Indiana,9,"$50,000 under $75,000","51,400",14.72610589
Indiana,9,"$75,000 under $100,000","34,260",9.815493926
Indiana,9,"$100,000 under $200,000","46,180",13.23057529
Indiana,9,"$200,000 under $500,000","9,690",2.77618611
Indiana,9,"$500,000 or more","1,610",0.461265185
,,,,
Michigan,1,,"335,080",100
Michigan,1,Under $1,"5,340",1.593649278
Michigan,1,"$1 under $10,000","53,080",15.8409932
Michigan,1,"$10,000 under $25,000","71,290",21.27551629
Michigan,1,"$25,000 under $50,000","80,760",24.10170706
Michigan,1,"$50,000 under $75,000","47,330",14.12498508
Michigan,1,"$75,000 under $100,000","30,970",9.242568939
Michigan,1,"$100,000 under $200,000","36,460",10.88098365
Michigan,1,"$200,000 under $500,000","8,000",2.387489555
Michigan,1,"$500,000 or more","1,850",0.55210696
,,,,
Michigan,2,,"351,060",100
Michigan,2,Under $1,"3,780",1.076739019
Michigan,2,"$1 under $10,000","52,830",15.04870962
