"November 6, 2018 General Election Official Canvass Ballots Cast",,,,,,,
County Name,Precinct Name,Precinct Code,Region Name,Media Market,Registered Voters,Total Voters,Turnout Percentage
Allen,BATH D,AEB,West,Lima,783,409,52.234993614304%
Allen,BATH E,AEC,West,Lima,789,223,28.2636248415716%
Allen,BATH F,AED,West,Lima,599,375,62.6043405676127%
Allen,BATH G,AEE,West,Lima,849,507,59.7173144876325%
Allen,BATH H,AEF,West,Lima,785,504,64.203821656051%
Allen,BATH I,AEG,West,Lima,728,317,43.543956043956%
Allen,JACKSON A,AEN,West,Lima,982,662,67.4134419551935%
Allen,LAFAYETTE,AEO,West,Lima,239,120,50.2092050209205%
Allen,JACKSON B,AEQ,West,Lima,995,615,61.8090452261307%
Allen,MARION A,AES,West,Lima,1008,631,62.5992063492064%
Allen,MARION B,AET,West,Lima,883,589,66.7044167610419%
Allen,CAIRO,AEW,West,Lima,340,176,51.764705882353%
Allen,MONROE E,AEX,West,Lima,592,379,64.0202702702703%
Allen,MONROE W,AEY,West,Lima,539,345,64.0074211502783%
Allen,PERRY C,AEZ,West,Lima,828,511,61.7149758454106%
Allen,PERRY A,AFB,West,Lima,760,393,51.7105263157895%
Allen,PERRY B,AFC,West,Lima,688,316,45.9302325581395%
Allen,BEAVERDAM,AFE,West,Lima,227,98,43.1718061674009%
Allen,RICHLAND A,AFF,West,Lima,674,431,63.946587537092%
Allen,RICHLAND B,AFG,West,Lima,703,447,63.5846372688478%
Allen,BLUFFTON A,AFI,West,Lima,868,588,67.741935483871%
Allen,BLUFFTON B,AFJ,West,Lima,811,502,61.8988902589396%
Allen,BLUFFTON C,AFK,West,Lima,803,454,56.5379825653798%
Allen,SHAWNEE A,AFN,West,Lima,737,475,64.4504748982361%
Allen,SHAWNEE B,AFO,West,Lima,714,462,64.7058823529412%
Allen,SHAWNEE C,AFP,West,Lima,669,350,52.3168908819133%
Allen,SHAWNEE D,AFQ,West,Lima,737,521,70.6919945725916%
Allen,SHAWNEE E,AFR,West,Lima,702,430,61.2535612535613%
Allen,SHAWNEE F,AFS,West,Lima,838,563,67.1837708830549%
Allen,SHAWNEE G,AFT,West,Lima,822,547,66.5450121654501%
Allen,SHAWNEE H,AFU,West,Lima,752,463,61.5691489361702%
Allen,SHAWNEE I,AFV,West,Lima,747,485,64.9263721552878%
Allen,SHAWNEE J,AGB,West,Lima,859,564,65.6577415599534%
Allen,SHAWNEE K,AGC,West,Lima,853,486,56.9753810082063%
Allen,SHAWNEE L,AGD,West,Lima,826,439,53.1476997578693%
Allen,SPENCER A,AGI,West,Lima,572,330,57.6923076923077%
Allen,SPENCERVILLE A,AGK,West,Lima,698,330,47.2779369627507%
Allen,SPENCERVILLE B,AGL,West,Lima,632,297,46.993670886076%
Allen,SUGAR CREEK,AGN,West,Lima,880,555,63.0681818181818%
Ashland,ASHLAND CITY 1-A,AAA,Northeast,Cleveland,903,592,65.5592469545958%
Ashland,ASHLAND CITY 1-B,AAB,Northeast,Cleveland,1165,631,54.1630901287554%
Ashland,ASHLAND CITY 1-C,AAD,Northeast,Cleveland,1035,632,61.0628019323672%
Ashland,ASHLAND CITY 1-D,AAF,Northeast,Cleveland,667,475,71.2143928035982%
Ashland,ASHLAND CITY 2-A,AAG,Northeast,Cleveland,1016,479,47.1456692913386%
Ashland,ASHLAND CITY 2-B,AAH,Northeast,Cleveland,1271,569,44.7678992918961%
Ashland,ASHLAND CITY 2-C,AAJ,Northeast,Cleveland,977,530,54.2476970317298%
Ashland,ASHLAND CITY 3-A,AAQ,Northeast,Cleveland,796,374,46.9849246231156%
Ashland,ASHLAND CITY 3-B,AAS,Northeast,Cleveland,1043,556,53.3077660594439%
Ashland,ASHLAND CITY 3-C,AAU,Northeast,Cleveland,886,570,64.334085778781%
Ashland,ASHLAND CITY 3-D,AAV,Northeast,Cleveland,677,216,31.9054652880355%
Ashland,ASHLAND CITY 4-A,AAZ,Northeast,Cleveland,882,339,38.4353741496599%
Ashland,ASHLAND CITY 4-B,ABB,Northeast,Cleveland,692,223,32.2254335260116%
Ashland,ASHLAND CITY 4-C,ABC,Northeast,Cleveland,978,350,35.7873210633947%
